日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/07,無人機研發工程師,雷虎_雷虎科技股份有限公司,台中市西屯區工業六路七號,"35,000",1.無人直升機/多軸機操作2.無人載具系統組裝、測試及維修、維護等工作3.撰寫各項專案產品組裝程序書、及 各項紀錄測試數據4.客戶教育訓練及考照培訓,台中市西屯區,1年以上,專科,上市上櫃,83d61,www.104.com.tw/job/83d61?jobsource=jolist_c_relevance
9/05,軟體設計工程師(高雄),立埕工程顧問股份有限公司,高雄市左營區,"40,000",熟C#、Python1.資訊系統程式開發2.資料庫建置及維護3.報表設計及撰寫4.文件資料處理及分析.負責停車場資訊系統開發及維護,高雄市左營區,經歷不拘,專科,員工50人,7tbyd,www.104.com.tw/job/7tbyd?jobsource=jolist_c_relevance
9/05,韌體工程師(中科/台南),經緯航太科技股份有限公司,台中市大雅區,"40,000",1.伺服機控制與馬達驅動程式開發設計和除錯 2.BLDC馬達控制演算法開發與研究 3.MCU功能評估與驗證 4.依工具功能撰寫程式(GPIO、TIMER、ADC、PWM、UART) .具通訊協定制定經驗尤佳(UART、Can bus),台中市大雅區,1年以上,專科,員工180人,7vk7u,www.104.com.tw/job/7vk7u?jobsource=jolist_c_relevance
9/05,影像AI演算法工程師,華洋精機股份有限公司,台南市永康區,"38,000",機器視覺影像處理軟體工程師1.依據C/C++或C＃程式語言及 Python 基礎，應用於影像處理，圖像識別，機器學習，類神經網路深度學習和機器學習算法開發前瞻視覺檢測系統。2.光學檢測研發經驗者尤佳,台南市永康區,經歷不拘,碩士,員工65人,3rtsc,www.104.com.tw/job/3rtsc?jobsource=jolist_c_relevance
8/31,軟體設計工程師(四組),康和綜合證券股份有限公司,高雄市新興區中正三路55號17樓,待遇面議,"康和證券近年積極布局金融科技與創新，專注下列特色，歡迎有志同仁一同加入。1. 擁抱金融創新2. 自製核心系統3. 導入新型技術 (eg. container, k8s, elk, grafana...)主要專案:高速證券交易行情系統高速證券交易下單系統採用新技術與架構達成:客戶端跨語言、跨平台伺服端高併發、高可用、可水平擴展歡迎喜歡挑戰，對系統開發，金融交易有興趣的夥伴一同聊聊職務內容:- 前後端程式設計與開發- 程式維護與除錯    ",高雄市新興區,經歷不拘,大學,上市上櫃,7o8fd,www.104.com.tw/job/7o8fd?jobsource=jolist_c_relevance
2/23,遊戲測試工程師,永鼎數位科技有限公司,台中市西區台灣大道二段285號,"30,000",※須具備相關產業經驗工作內容:1. 產品功能性測試2. 需要細心和耐心處理一般測試；並運用想像力進行破壞性測試3.進行測試規劃、測試執行、測試管理、問題追蹤。 4. 問題重現與解析。 . 針對遊戲可玩性提出改善優化建議。※加分項目:自動化測試工具(框架)導入及使用之經驗者尤佳,台中市西區,1年以上,專科,,7ejb9,www.104.com.tw/job/7ejb9?jobsource=jolist_c_relevance
9/07,遊戲測試/遊戲自動化測試工程師,鼎順數位科技有限公司,台中市西區,待遇面議,1. 規劃測試計劃(test plan)、建置測試環境，並撰寫測試案例(test case)2. 負責撰寫自動化測試案例與執行自動化測試3. 設計與研發自動化測試工具4. 設計與改善自動化測試流程. 思考可能的軟體缺陷，確保產品穩定性，並持續利用自動化工具優化品質6. 追蹤並記錄產品問題，且可透過工具分析，回饋相關人員進行修正7. 其他主管交辦事項,台中市西區,1年以上,大學,員工50人,73bek,www.104.com.tw/job/73bek?jobsource=jolist_c_relevance
9/06,巨量資料分析工程師（自動化/安南區）,光洋應用材料科技股份有限公司,台南市安南區工業三路1號(科技工業園區),待遇面議,"困難下不輕言放棄，有樂觀向上的人格特質。☑ 技能需求     1. Python, R, SAS, Matlab, C, C++, C#    2. 具資料探勘/機器學習/深度學習/機器視覺     3. 熟悉MySQL、NoSQL資料庫",台南市安南區,3年以上,大學,上市上櫃,76it9,www.104.com.tw/job/76it9?jobsource=jolist_c_relevance
9/06,應用服務開發工程師-T3,PMC_財團法人精密機械研究發展中心,台中市西屯區工業區三十七路27號,"34,000",1.維護、設計、撰寫現有營運中平台網站，解決用戶使用上問題。2.負責資料介接，相關API服務串接等工作，並將結果呈現於網頁/APP。,台中市西屯區,經歷不拘,大學,員工250人,7fnhp,www.104.com.tw/job/7fnhp?jobsource=jolist_c_relevance
9/05,全端工程師(高雄),億威電子系統股份有限公司,高雄市燕巢區,"33,000",1.設計開發系統介面程式，資料庫設計與管理2.設計API與前端APP或Web系統串接3.維運系統正常運作4.專案支援、協調及執行軟體測試.主管交辦工作事項,高雄市燕巢區,3年以上,大學,員工310人,83rxy,www.104.com.tw/job/83rxy?jobsource=jolist_c_relevance
