日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/04,2731 - (Sr.) Application Engineer,台灣羅德史瓦茲有限公司(ROHDE&SCHWARZ),台北市內湖區堤頂大道二段89號4樓,待遇面議,"- Perform technical support for Wireless Communication Tester / Callbox equipment for the dedicate account customer- Demonstrate cellular and non-cellular wireless technologies: 2G~5G, WIFI & BT- Development and deliver seminars and customer trainings- Provide customer’s new requirements and features to Account Sales- Manage information and experience sharing for technical study task force.- Discuss and cooperate strategy project with sales - Handle Project within internal teams and customers- Latest market and competition information sharing- Develop strong links with R&S HQ - Ensure optimum usage/distribution of company resources- Discuss and cooperate strategy project with R&D",台北市內湖區,3年以上,大學,外商公司,7rs7d,www.104.com.tw/job/7rs7d?jobsource=jolist_c_relevance
9/06,資料分析師 (Data Analyst),亞洲指標數位行銷顧問股份有限公司,台北市松山區敦化北路214號3樓,"35,000",)2. 進行資料建模(開發預測模型、發展演算法)3. 資料視覺化處理4. API 製作此職缺需熟悉統計分析、Python或R語言、Machine Learning、MongoDB、SQL，有API串接或開發的經驗。誠摯歡迎符合以上條件,台北市松山區,2年以上,碩士,員工100人,6k2x6,www.104.com.tw/job/6k2x6?jobsource=jolist_c_relevance
9/04,IT軟體工程師(Data Engineer),GARMIN_台灣國際航電股份有限公司,新北市汐止區新台五路一段97號37樓,待遇面議," like Airflow, Prefect, DAGster etc.4.	Knowledge of Python, Scala or similar programming languages..	Experience with",新北市汐止區,1年以上,大學,外商公司,7z55c,www.104.com.tw/job/7z55c?jobsource=jolist_c_relevance
9/07,"Lead Test Engineer, Pixel Test Engineering",Google_美商科高國際有限公司,新北市板橋區220台灣新北市板橋區遠東路66號,待遇面議," scripting languages (e.g., Python, Java, C++).- 3 years of experience in leading technical projects/teams, serving as a",新北市板橋區,5年以上,專科,外商公司,83d3f,www.104.com.tw/job/83d3f?jobsource=jolist_c_relevance
9/04,Server遊戲軟體工程師,鈊象電子股份有限公司,新北市五股區五工路130號,"30,000",1. 機台/手機/線上遊戲平台、Server開發及維護2. 優化及改善既有遊戲效能3. 管理資料庫遊戲數據4. 負責專案相關程式技術文件的撰寫與維護. 參與新技術的研究分析與設計開發,新北市五股區,經歷不拘,大學,上市上櫃,4cdsi,www.104.com.tw/job/4cdsi?jobsource=jolist_d_relevance
9/07,DevOps Engineer (230014),四零四科技股份有限公司,新北市新莊區新北大道四段3號13樓,待遇面議,"【Purpose of this Position】IoT+Industrial 4.0=IIoT，新一代的IIoT Device、Computer、Gateway、Controller將為Industrial產業進行一場Digital Transformation，工業物聯網的大數據時代也少不了Cybersecurity，DevOps更是這場數位轉型的關鍵技術為開發、測試與維護帶來更高的效率與品質，歡迎您一起加入打造IIoT Device、Computer、Gateway、Controller、Switch。 我們 SRE 團隊在其中所扮演的是著重在DevOps領域並以Google SRE Workbook中所定義的SRE角色: software engineering, monitoring systems, production automation, system architecture, operation 為主。在這個蓬勃發展的領域希望招募能自主學習、喜歡解決問題、重視團隊合作、和夥伴們一起成長的 SRE 工程師。【Major Areas of Responsibility】學習既有的Industrial設備軟體CI/CD流程，並依照Secure SDLC、Cybersecurity與Dashboard等等需求進行規劃整合，進而建構出一套軟體品質穩定且符合安全規範的DevOps環境與流程。擁抱 DevOps 精神，善用跨團隊溝通合作技巧與DevOps相關技術，建構符合安全規範的軟體開發環境與流程，以提升整體的服務可靠性讓產品開發團隊可以更專注在主要工作，以自動化、雲端服務、IaC、well-architected 等角度協助產品團隊優化 DX (developer experience)，並且提供視覺化增加決策效率，為公司創造更多價值。【DevSecOps on Moxa SRE (AWS)】PLAN- JIRA project management and issue/bug traceability for SSDLCDEVELOP- Gitlab.com code management and continuous integration(docker)- OSS(open source software) scan and reportBUILD(CI)- SCA(static code analysis)- SAST(static application security testing)TEST(CD)- Linux platform test and version upgrade- Vulnerability scan, patch, and upgrade.- DAST(dynamic application security testing)- Device Autotest IntegrationRELEASE(CD)- File signature by HSM(hardware security module)- Artifacts management systemOPERATE(IaC)- AWS service, Gitlab.com management, GitOpsMONITOR- Dashboard present progress and test results",新北市新莊區,經歷不拘,碩士,員工1400人,7ajpq,www.104.com.tw/job/7ajpq?jobsource=jolist_d_relevance
9/07,自動化測試(高級)工程師 (23006P),四零四科技股份有限公司,新北市新莊區新北大道四段3號13樓,待遇面議,"【Purpose of this Position】隨著時代的演變，軟體技術的發展越來越快速，對於產品品質提升的相關技術也一直在快速演進，為了確保產品的品質，除了手動測試，也需要透過開發自動化測試來提升測試效率及品質。工作主要的內容是以確保產品品質為主，產品線的範圍包含現場擷取感測器資料的遠端I/O、通訊協定轉換器、IIOT Gateway、工業電腦、交換機、路由器、無線AP以及包含Moxa在雲端提供的服務(SaaS)等等。 歡迎有相關測試經驗或者對測試驗證有興趣者，且想多探索更多自動化測試的人，如果你對這樣的工作內容有興趣的話，歡迎跟我們聯絡，讓我們一起共創出你自己也覺得驕傲的產品。【Major Areas of Responsibility】1. 參與專案團隊的的需求、設計審查、程式開發，提供相關建議，設計良好測試方法及流程等。2. 完成測試程式開發及產品的測試計畫撰寫、優化測試案例、執行測試案例及除錯，建置維護測試 環境，發布測試報告予專案團隊從事測試程式及產品的問題鑑別、分析、及缺陷追蹤，發布測試報告予專案團隊3. 負責產品的問題鑑別、分析、及缺陷追蹤，提供前線技術支援，協助團隊快速解決問題。4. 設計及維護自動化框架，持續優化及重構自動化框架，以符合專案團隊需求. 建立新產品新技術測試能量，並技轉給其他同 仁。6. 自動化驗證活動與軟體開發端進行串接，建立持 續整合之流程pipeline 7. 研讀並熟稔網路協定與產品規格, Ex: VPN,Firewall,NAT, Routing 8. (CONTROLLER) 融入團隊敏捷式開發節奏, 進行 相關部門協作的溝通與資訊同步, 快速反應於任何專案變動",新北市新莊區,2年以上,大學,員工1400人,7w4gq,www.104.com.tw/job/7w4gq?jobsource=jolist_d_relevance
9/01,JR101254 投資規劃人員,中國人壽保險股份有限公司(總公司),台北市松山區敦化北路135號,待遇面議,主要職掌包含:1.規劃與擬定中長期資產配置規劃與投資收益目標、年度投資預算規劃等。2.規劃資產區隔帳戶資金運用及投資組合管理、績效分析報告等。3.研究及建置資產配置策略模型。,台北市松山區,5年以上,大學,員工13539人,7ca2y,www.104.com.tw/job/7ca2y?jobsource=jolist_d_relevance
8/09,Data Scientist 資料科學家,夏酷科技股份有限公司,台北市內湖區內湖路一段360巷15號8樓之3,待遇面議, learning tools. (must)7. Programming skill: can write Python scripts for simple job automation. (must)8. Familiar or had,台北市內湖區,2年以上,大學,員工15人,7vg8f,www.104.com.tw/job/7vg8f?jobsource=jolist_d_relevance
5/03,技術經理(處長),昱峰智能大數據科技股份有限公司,台北市信義區永吉路168號12樓之1,待遇面議,1.負責大數據系統程式開發2.大數據系統架構設計與分析3. 系統專案的開發及上線4. 系統導入與維護,台北市信義區,3年以上,專科,員工10人,6o5tp,www.104.com.tw/job/6o5tp?jobsource=jolist_d_relevance
