日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
8/16,雲端系統工程師(值班工程師，臺中市西屯區),龍祥鴻資訊有限公司,台中市西區臺中市西屯區臺灣大道四段,"30,000","適合對於互聯網服務、平台，歡迎有Linux 基本操作、責任感高加入我們的團隊。值班班別皆以符合勞基法為主：二/四周變形工時、國定假日調移個別同意書，需同意並簽署身為團隊的一員, 即時回覆、解決客戶問題是團隊主要目標!夥伴是多班別輪班。交班時提供值班日誌給下一班接棒維運。1. 在輪班座位上最主要是以即時通訊軟體回覆內、外部客戶群需求。2. 次要為注意監控平台上的燈號、曲線圖與數值是否在正常範圍內。以技術團隊提供的標準作業程序(SOP)解決客戶的問題。輪班班表擁有三班制的多元排班制，更能彈性安排工作時間。【團隊目標】以『秒級回覆』、達到每項服務所制定的 SLA %【工作內容】1. CentOS Linux、SQL 等代客操作2. GCP/AWS阿里雲/IDC 雲&地端維運3.Grafana/prometheus 系統監控、處理。ELK LOG蒐集, 清理4.ICP,SSL 監控管理, 更換.技術文件維護,更版6.即時反應客戶問題，判斷系統問題，排除異常7.CDN技術反饋原廠除錯8.其他主管交辦事項",台中市西區,經歷不拘,專科,員工37人,80as9,www.104.com.tw/job/80as9?jobsource=jolist_b_relevance
8/29,後端工程師,三蒂空間設計工作室,台中市西屯區青海路二段286之3號,"30,000","【主要任務】- 開發及維護POS軟體- 負責專案後端開發【條件要求】- 瞭解 HTTP、TCP 等網路通訊協定- 暸解 security,authentication等議題- 至少精通一個後端語言，例如：Ruby、Python、",台中市西屯區,3年以上,專科,員工3人,83j37,www.104.com.tw/job/83j37?jobsource=jolist_b_relevance
9/04,資深軟體設計工程師,陶林數值測量工程有限公司,台中市北屯區崇德路二段130號17樓之2,"50,000",1.與前端工程師協作，負責開發資訊系統。2.負責後端資料庫服務(WebAPI)的撰寫及維護。3.進行產品模組化的設計與開發，以提高系統的擴展性與可維護性。4.參與系統上線前的測試，並在系統上線後負責其維護和營運。.具備從需求分析、設計、開發、測試到部署的完整開發流程經驗。6.協助進行ISO27001認證的驗證和稽核工作，以確保符合資訊安全標準。7.主動積極具學習熱忱，重視團隊溝通及合作。,台中市北屯區,3年以上,大學,員工25人,81s29,www.104.com.tw/job/81s29?jobsource=jolist_b_relevance
9/01,SEO工程師,磐弈有限公司,台中市西屯區市政路386號,"40,000",工作內容： 1. 負責公司網站的SEO優化，包含：關鍵字部署、內部連結調整、頁面結構、外鏈建設等等。2. 對行業熱點和趨勢進行分析，及研究、監控同行競爭對手優化手段進行分析。3. 主動研究搜尋引擎變化，即時提出調整方案。4. 製定SEO優化方案，定位關鍵字的難易度及操作排名所需時間，組織實施優化方案。. 善於利用多種SEO推廣手段及工具軟體，保持並逐步提升網站在搜尋引擎的權重和流量引入。6. 對網站流量進行數據監控和數據統計，分析頁面流量轉化數據和用戶行為提出改善建議。7. 擁有良好的溝通能力、執行力、積極及強烈的責任心，並具備團隊合作能力者。8. 規劃站群TKD、佈局長尾字。9. 利用CMS或PHP腳本建立站群。10. 定期更新站群內容，提升搜尋引擎(主要為百度)友好度。11. 讓站群在收尋引擎(主要為百度)的收錄頁數增加並取得良好排名。12. 批量建站，維護網站排名，並建立自動或半自動化工具維持推廣成效。13. 其它主管交辦事項。(合適者則會通知面試，不合適者恕不另行通知！謝謝您應徵104職缺！),台中市西屯區,2年以上,專科,,6yhxz,www.104.com.tw/job/6yhxz?jobsource=jolist_b_relevance
9/03,電腦 教師(須有較強英文能力，會教AP電腦科學 尤佳),前進外語留學文教機構_台中市私立前進美、歐語會話短期補習班,台中市西屯區河南路二段327號2樓之1,待遇面議,國內外學、碩士以上學歷，具教學經驗，有留學經驗者更佳。會教 AP電腦 尤佳。需有較強的英文讀說能力，最好能全英授課。(皆是小班教學或是一對一教學)能教 微積分 或 物理 或 化學 或 生物 或 統計 者更佳。本中心提供高額優渥鐘點費。,台中市西屯區,經歷不拘,大學,,7cn46,www.104.com.tw/job/7cn46?jobsource=jolist_b_relevance
9/02,【SRE】Site Reliability Engineer / 網站可靠性工程師,銳普資訊有限公司,台中市北屯區文心路四段698號,"60,000","1. 熟悉CI/CD自動化運維解決方案 (Jenkins, Gitlab CI, Helm, Ansible)。2. 熟悉微服務建置與管理 (Kubernetes, Docker)。3. 熟悉任一版本Linux (Centos, Ubuntu, SUSE...etc) 之建置、調校與管理。4. 熟悉Shell Script，具備建構自動化腳本工具之能力。. 熟悉基礎網路知識、網路路由與訪問代理觀念。6. 熟悉監控工具架設佈建與站台服務監控之知識 (Prometheus, Zabbix)7. 熟悉日誌收容與分析解決方案 (Grafana/ELK Stack)• 與公司內的軟體工程師密切合作，維護項目高效完成所需的硬件和軟件。 • 優化服務設計和技術架構滿足業務增長。 • 協助開發團隊定位排除生產環境的問題。 ",台中市北屯區,3年以上,大學,員工30人,7amvm,www.104.com.tw/job/7amvm?jobsource=jolist_b_relevance
9/07,智慧製造生技工程師,漢鐘精機股份有限公司,台中市南屯區精科路10號,待遇面議,我們正在尋找有動力的有數據分析能力工程師加入我們不斷壯大的分析和數據科學團隊。您將負責擴展和優化我們的生產及設備數據和數據管道架構，以及為跨職能團隊優化數據流和收集數據提供給團隊讓團隊持續改善.工作內容1.	負責相關工廠端MES 數據確認及解析生產管理中異常數據分析。2.	運用統計方法進行數據分析及建模工作，設計、執行各項數據實驗並追蹤後續實驗成效3.	針對分析後數據制定管制點及數據預警機制建立。4.	MES報表及數據分析相關系統維護。.	彙整、分析與定期產出各類型的監測資料或報告。6.	與團隊合作協助生產技術資料分析及有效溝通共同執行專案。7.	願意靈活做事來推動大數據團隊向前發展。,台中市南屯區,2年以上,大學,員工550人,7wgi6,www.104.com.tw/job/7wgi6?jobsource=jolist_b_relevance
9/04,全英文教python老師（中級英文、初級Python玩程式）,臺中市私立澄學文理短期補習班,台中市南屯區黎明東街385號,500~1,,台中市南屯區,經歷不拘,學歷不拘,員工2人,7zmqp,www.104.com.tw/job/7zmqp?jobsource=jolist_b_relevance
9/04,D4000 APP程式開發工程師(Android)【台中】,富邦媒體科技股份有限公司(富邦momo),台中市北屯區文心路四段955號9樓,待遇面議,目前以Kotlin為主要開發語言2. CI開發：Python / Groovy / Ruby / Jenkins / Slack / Fastlane / EspressoUI Test3. Source Control: Gitlab /,台中市北屯區,1年以上,專科,員工2900人,7lstk,www.104.com.tw/job/7lstk?jobsource=jolist_b_relevance
9/04,Firmware Test Engineering Manager/韌體測試工程主管 - 台中,系微股份有限公司,台中市南區忠明南路760號34樓,待遇面議,1. 負責公司產品(BIOS/BMC/Tool)的軟體及韌體測試及管理工作。 2. 研讀原文規範書及參與需求分析，制定測試計畫以及方案，並有效安排團隊開展工作，對測試結果負責。 3. 編寫或修改測試計畫、規劃詳細的測試方案、編寫測試用例、執行測試工作，提交測試報告。 4. 根據測試計畫搭建和維護項目測試環境、更新測試軟體，部署測試系統。 . 善於分析並定位系統 Bug 及潛在的系統缺陷，協助開發人員確認問題。 6. 嚴格確保開發做出來的產品符合需求文件的要求，站在使用者角度確認產品功能和流程的流暢。,台中市南區,8年以上,大學,上市上櫃,6m8yz,www.104.com.tw/job/6m8yz?jobsource=jolist_b_relevance
9/01,【數位技術】雲端架構師-台中廠-R10,友達光電股份有限公司,台中市西屯區中科路1號,待遇面議,1. 地端及雲端Infrastructure專案導入2. 負責Linux、Docker、K8S環境建置3. 負責Azure雲平台建置維護4. 系統自動化佈署建置. 需值班(On-Call),台中市西屯區,3年以上,大學,上市上櫃,81h5m,www.104.com.tw/job/81h5m?jobsource=jolist_b_relevance
9/06,(台中) Financial Analyst/Auditor,上銀科技股份有限公司,台中市南屯區精科路7號,待遇面議,"1.Performs projects that involve big data analytics examining large amounts of data to uncover hidden patterns, correlations, and provide business intelligence solution suggestions for higher management.2.Performs internal audit for 11 subsidiaries located in Chicago USA, Italy, Germany, Switzerland, England, China, Japan, Korea, and Singapore.",台中市南屯區,2年以上,大學,員工4800人,71etg,www.104.com.tw/job/71etg?jobsource=jolist_b_relevance
9/06,"資深資料科學前端工程師 (Sr. Frontend Engineer) - 台中 數據技術發展(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,台中市烏日區台中市烏日區高鐵一路299號,待遇面議,[工作內容]國泰金控 數數發 數據技術發展小組（Data Science & Technology），團隊負責 AI 量化投資應用的創新技術研究、概念性驗證與專案產品程式的開發，幫助集團發展新型態的投資應用。我們正在尋找前端資料工程菁英，歡迎有相關工作經驗的朋友來挑戰。此職務可能包含但不限如下相關內容：1. 參與 AI 量化投資的產品、專案、PoC 開發與維護2. 與 UI/UX 設計師合作，實現設計規格，並評估前端元件的可共用性、實作可行性及可維護性等3. 與團隊共同參與需求規劃討論，使用 React 設計開發前端頁面功能4. 與資料科學家、資料工程師合作，串接後端數據源，設計並開發資料視覺化的呈現. CICD 自動化部署[我們的團隊介紹與文化特色]- 我們是集團於中部研發中心的資料科學團隊，特別針對中部的資料科學人才好手提供優質的新創研發環境- 我們有實驗室的理論研究精神，也有業界專業務實落地的應用- 從專案的開發來接地氣，從新技術的研究來保持創新，從產品的發展來規模化- 擁抱雲端技術，也重視開放的資料技術- 開放與分享是我們的基因，要有主動挖掘問題、主動解決問題的能力，也要有主動分享、傳承學習並追求進步的特質條件- 進步快速的團隊，能夠因應組織任務需求來調整工作內容**請同步於 104 及以下職缺連結投遞履歷，可以讓我們在審閱履歷上會更快速喔！**投遞連結：https://recruit.cathayholdings.com/CathaybkHR/servlet/HttpDispatcher/EZA0_0320/jobDetail?applFormNo=I00014684,台中市烏日區,8年以上,大學,上市上櫃,80xz7,www.104.com.tw/job/80xz7?jobsource=jolist_c_relevance
